,Tarih,Yıl,Ay,Alış (Forex),Satış (Forex),Gun,Haftalik_Ortalama,Onceki_Gun_Fiyat
315,2022-03-22,2022,3,16.2734,16.3028,22,16.2397,16.3668
316,2022-03-23,2022,3,16.2985,16.3279,23,16.2591,16.2734
317,2022-03-24,2022,3,16.2825,16.3118,24,16.26845714285714,16.2985
318,2022-03-25,2022,3,16.3136,16.343,25,16.295342857142856,16.2825
319,2022-03-28,2022,3,16.262,16.2913,28,16.303271428571428,16.3136
320,2022-03-29,2022,3,16.3117,16.3411,29,16.301214285714284,16.262
321,2022-03-30,2022,3,16.3086,16.338,30,16.2929,16.3117
322,2022-03-31,2022,3,16.2855,16.3148,31,16.29462857142857,16.3086
323,2022-04-01,2022,4,16.2145,16.2437,1,16.28262857142857,16.2855
324,2022-04-04,2022,4,16.1796,16.2087,4,16.26792857142857,16.2145
325,2022-04-05,2022,4,16.1262,16.1552,5,16.241157142857144,16.1796
326,2022-04-06,2022,4,16.0543,16.0833,6,16.211485714285715,16.1262
327,2022-04-07,2022,4,16.0523,16.0812,7,16.17442857142857,16.0543
328,2022-04-08,2022,4,16.0012,16.03,8,16.130514285714288,16.0523
329,2022-04-11,2022,4,16.0497,16.0787,11,16.09682857142857,16.0012
330,2022-04-12,2022,4,15.933,15.9617,12,16.056614285714286,16.0497
331,2022-04-13,2022,4,15.7713,15.7997,13,15.998285714285716,15.933
332,2022-04-14,2022,4,15.9114,15.9401,14,15.967600000000001,15.7713
333,2022-04-15,2022,4,15.8056,15.8341,15,15.93207142857143,15.9114
334,2022-04-18,2022,4,15.7912,15.8196,18,15.89477142857143,15.8056
335,2022-04-19,2022,4,15.801,15.8295,19,15.866171428571429,15.7912
336,2022-04-20,2022,4,15.8633,15.8919,20,15.839542857142858,15.801
337,2022-04-21,2022,4,15.9909,16.0197,21,15.847814285714287,15.8633
338,2022-04-22,2022,4,15.9017,15.9304,22,15.866442857142857,15.9909
339,2022-04-25,2022,4,15.8262,15.8547,25,15.854271428571428,15.9017
340,2022-04-26,2022,4,15.7779,15.8063,26,15.850314285714287,15.8262
341,2022-04-27,2022,4,15.6941,15.7224,27,15.836442857142856,15.7779
342,2022-04-28,2022,4,15.5448,15.5728,28,15.79984285714286,15.6941
343,2022-04-29,2022,4,15.6139,15.642,29,15.764214285714287,15.5448
344,2022-05-05,2022,5,15.7054,15.7337,5,15.723428571428572,15.6139
345,2022-05-06,2022,5,15.7147,15.743,6,15.696714285714284,15.7054
346,2022-05-09,2022,5,15.7587,15.7871,9,15.687071428571429,15.7147
347,2022-05-10,2022,5,16.0374,16.0663,10,15.724142857142855,15.7587
348,2022-05-11,2022,5,16.133,16.1621,11,15.786842857142858,16.0374
349,2022-05-12,2022,5,16.0354,16.0643,12,15.85692857142857,16.133
350,2022-05-13,2022,5,16.0455,16.0744,13,15.918585714285715,16.0354
351,2022-05-16,2022,5,16.2166,16.2458,16,15.991614285714286,16.0455
352,2022-05-17,2022,5,16.5628,16.5926,17,16.112771428571428,16.2166
353,2022-05-18,2022,5,16.7425,16.7727,18,16.253314285714286,16.5628
354,2022-05-20,2022,5,16.8483,16.8786,20,16.369157142857144,16.7425
355,2022-05-23,2022,5,16.8698,16.9002,23,16.474414285714285,16.8483
